date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:36:52	29836/29836	---M--	200	added ('OK')	image/png	etag:%22748c-5e028a27d7d40%22	https://www.mineimator.com/images/index_download_hover.png	D:/spigottt/mine-imator/www.mineimator.com/images/index_download_hover.png	(from https://www.mineimator.com/css/index.css)
12:36:52	8273/8273	---M--	200	added ('OK')	image/png	etag:%222051-58e6d914ee700%22	https://www.mineimator.com/images/index_link_showcase_hover.png	D:/spigottt/mine-imator/www.mineimator.com/images/index_link_showcase_hover.png	(from https://www.mineimator.com/css/index.css)
12:36:53	26759/26759	---M--	200	added ('OK')	image/png	etag:%226887-55a6e5553a200%22	https://www.mineimator.com/images/index_link_forums_hover.png	D:/spigottt/mine-imator/www.mineimator.com/images/index_link_forums_hover.png	(from https://www.mineimator.com/css/index.css)
12:36:53	26225/26225	---M--	200	added ('OK')	image/png	etag:%226671-55a6e5553a200%22	https://www.mineimator.com/images/index_link_forums.png	D:/spigottt/mine-imator/www.mineimator.com/images/index_link_forums.png	(from https://www.mineimator.com/css/index.css)
12:36:53	30703/30703	---M--	200	added ('OK')	image/png	etag:%2277ef-55a6e5553a200%22	https://www.mineimator.com/images/index_link_upgrade.png	D:/spigottt/mine-imator/www.mineimator.com/images/index_link_upgrade.png	(from https://www.mineimator.com/css/index.css)
12:36:53	31288/31288	---M--	200	added ('OK')	image/png	etag:%227a38-55a6e5553a200%22	https://www.mineimator.com/images/index_link_upgrade_hover.png	D:/spigottt/mine-imator/www.mineimator.com/images/index_link_upgrade_hover.png	(from https://www.mineimator.com/css/index.css)
12:36:53	28827/28827	---M--	200	added ('OK')	image/png	etag:%22709b-55a6e5553a200%22	https://www.mineimator.com/images/index_link_back.png	D:/spigottt/mine-imator/www.mineimator.com/images/index_link_back.png	(from https://www.mineimator.com/css/index.css)
12:36:54	29456/29456	---M--	200	added ('OK')	image/png	etag:%227310-55a6e5553a200%22	https://www.mineimator.com/images/index_link_back_hover.png	D:/spigottt/mine-imator/www.mineimator.com/images/index_link_back_hover.png	(from https://www.mineimator.com/css/index.css)
12:36:54	8369/8369	---M--	200	added ('OK')	image/png	etag:%2220b1-58e6c0fe79280%22	https://www.mineimator.com/images/index_link_full_showcase.png	D:/spigottt/mine-imator/www.mineimator.com/images/index_link_full_showcase.png	(from https://www.mineimator.com/css/index.css)
12:36:54	9171/9171	---M--	200	added ('OK')	image/png	etag:%2223d3-58e6c10dbb680%22	https://www.mineimator.com/images/index_link_full_showcase_hover.png	D:/spigottt/mine-imator/www.mineimator.com/images/index_link_full_showcase_hover.png	(from https://www.mineimator.com/css/index.css)
12:36:55	1774/1774	---M-Z	200	added ('OK')	text/css	etag:%226ee-5e71577746700-gzip%22	https://www.mineimator.com/css/download.css	D:/spigottt/mine-imator/www.mineimator.com/css/download.css	(from https://www.mineimator.com/download)
12:36:55	33137/33137	---M--	200	added ('OK')	image/png	etag:%228171-58e6cac119980%22	https://www.mineimator.com/images/page_logo.png	D:/spigottt/mine-imator/www.mineimator.com/images/page_logo.png	(from https://www.mineimator.com/download)
12:36:55	321/321	---M--	302	error ('Found')	text/html	date:Mon,%2022%20Jul%202024%2007:36:54%20GMT	https://www.mineimator.com/dl/mineimator-installer	D:/spigottt/mine-imator/www.mineimator.com/dl/mineimator-installer	(from https://www.mineimator.com/download)
12:36:55	315/315	---M--	302	error ('Found')	text/html	date:Mon,%2022%20Jul%202024%2007:36:54%20GMT	https://www.mineimator.com/dl/mineimator-zip	D:/spigottt/mine-imator/www.mineimator.com/dl/mineimator-zip	(from https://www.mineimator.com/download)
12:36:55	327/327	---M--	302	error ('Found')	text/html	date:Mon,%2022%20Jul%202024%2007:36:55%20GMT	https://www.mineimator.com/dl/mineimator-2.0.2-installer	D:/spigottt/mine-imator/www.mineimator.com/dl/mineimator-2.0.2-installer	(from https://www.mineimator.com/download)
12:36:56	321/321	---M--	302	error ('Found')	text/html	date:Mon,%2022%20Jul%202024%2007:36:55%20GMT	https://www.mineimator.com/dl/mineimator-2.0.2-zip	D:/spigottt/mine-imator/www.mineimator.com/dl/mineimator-2.0.2-zip	(from https://www.mineimator.com/download)
12:36:56	327/327	---M--	302	error ('Found')	text/html	date:Mon,%2022%20Jul%202024%2007:36:55%20GMT	https://www.mineimator.com/dl/mineimator-2.0.1-installer	D:/spigottt/mine-imator/www.mineimator.com/dl/mineimator-2.0.1-installer	(from https://www.mineimator.com/download)
12:36:56	321/321	---M--	302	error ('Found')	text/html	date:Mon,%2022%20Jul%202024%2007:36:56%20GMT	https://www.mineimator.com/dl/mineimator-2.0.1-zip	D:/spigottt/mine-imator/www.mineimator.com/dl/mineimator-2.0.1-zip	(from https://www.mineimator.com/download)
12:36:57	327/327	---M--	302	error ('Found')	text/html	date:Mon,%2022%20Jul%202024%2007:36:56%20GMT	https://www.mineimator.com/dl/mineimator-2.0.0-installer	D:/spigottt/mine-imator/www.mineimator.com/dl/mineimator-2.0.0-installer	(from https://www.mineimator.com/download)
12:36:57	321/321	---M--	302	error ('Found')	text/html	date:Mon,%2022%20Jul%202024%2007:36:57%20GMT	https://www.mineimator.com/dl/mineimator-2.0.0-zip	D:/spigottt/mine-imator/www.mineimator.com/dl/mineimator-2.0.0-zip	(from https://www.mineimator.com/download)
12:36:58	343/343	---M--	302	error ('Found')	text/html	date:Mon,%2022%20Jul%202024%2007:36:57%20GMT	https://www.mineimator.com/dl/mineimator-2.0%20Pre-release%207-installer	D:/spigottt/mine-imator/www.mineimator.com/dl/mineimator-2.0%20Pre-release%207-installer	(from https://www.mineimator.com/download)
12:36:58	337/337	---M--	302	error ('Found')	text/html	date:Mon,%2022%20Jul%202024%2007:36:57%20GMT	https://www.mineimator.com/dl/mineimator-2.0%20Pre-release%207-zip	D:/spigottt/mine-imator/www.mineimator.com/dl/mineimator-2.0%20Pre-release%207-zip	(from https://www.mineimator.com/download)
12:36:58	343/343	---M--	302	error ('Found')	text/html	date:Mon,%2022%20Jul%202024%2007:36:57%20GMT	https://www.mineimator.com/dl/mineimator-2.0%20Pre-release%206-installer	D:/spigottt/mine-imator/www.mineimator.com/dl/mineimator-2.0%20Pre-release%206-installer	(from https://www.mineimator.com/download)
12:36:58	337/337	---M--	302	error ('Found')	text/html	date:Mon,%2022%20Jul%202024%2007:36:58%20GMT	https://www.mineimator.com/dl/mineimator-2.0%20Pre-release%206-zip	D:/spigottt/mine-imator/www.mineimator.com/dl/mineimator-2.0%20Pre-release%206-zip	(from https://www.mineimator.com/download)
12:36:59	343/343	---M--	302	error ('Found')	text/html	date:Mon,%2022%20Jul%202024%2007:36:58%20GMT	https://www.mineimator.com/dl/mineimator-2.0%20Pre-release%205-installer	D:/spigottt/mine-imator/www.mineimator.com/dl/mineimator-2.0%20Pre-release%205-installer	(from https://www.mineimator.com/download)
12:36:59	337/337	---M--	302	error ('Found')	text/html	date:Mon,%2022%20Jul%202024%2007:36:58%20GMT	https://www.mineimator.com/dl/mineimator-2.0%20Pre-release%205-zip	D:/spigottt/mine-imator/www.mineimator.com/dl/mineimator-2.0%20Pre-release%205-zip	(from https://www.mineimator.com/download)
12:37:00	343/343	---M--	302	error ('Found')	text/html	date:Mon,%2022%20Jul%202024%2007:36:59%20GMT	https://www.mineimator.com/dl/mineimator-2.0%20Pre-release%204-installer	D:/spigottt/mine-imator/www.mineimator.com/dl/mineimator-2.0%20Pre-release%204-installer	(from https://www.mineimator.com/download)
12:37:00	337/337	---M--	302	error ('Found')	text/html	date:Mon,%2022%20Jul%202024%2007:36:59%20GMT	https://www.mineimator.com/dl/mineimator-2.0%20Pre-release%204-zip	D:/spigottt/mine-imator/www.mineimator.com/dl/mineimator-2.0%20Pre-release%204-zip	(from https://www.mineimator.com/download)
12:37:00	343/343	---M--	302	error ('Found')	text/html	date:Mon,%2022%20Jul%202024%2007:37:00%20GMT	https://www.mineimator.com/dl/mineimator-2.0%20Pre-release%203-installer	D:/spigottt/mine-imator/www.mineimator.com/dl/mineimator-2.0%20Pre-release%203-installer	(from https://www.mineimator.com/download)
